source_id,source_magnitude,source_completeness_above_ref,source_to_end_time_distance,pos_source_to_start_time_distance,l_hat,G
12041,2.9000000000000004,0.0,13148.141461574074,3652.141461574074,0.36322269877549285,0.030765129698921957
12042,2.7,0.0,13147.903321643518,3651.9033216435187,0.017322584067759488,0.025225582735558767
12043,3.0,0.0,13147.890395601851,3651.8903956018517,0.0632008347115311,0.03398011087109976
12044,3.3000000000000003,0.0,13147.730797222222,3651.730797222222,0.0034102151066535994,0.045775286386522375
12045,2.9000000000000004,0.0,13147.667267939814,3651.667267939815,0.5489358133021545,0.030770327707685764
12046,3.1,0.0,13147.528145949074,3651.528145949074,0.10652854381949166,0.03753254704193367
12048,3.6,0.0,13144.739751967592,3648.7397519675924,0.016854255833387954,0.0617270511933388
12050,3.1,0.0,13141.025521527778,3645.025521527778,0.006104890647568816,0.03761963186025934
12052,3.0,0.0,13140.296681828704,3644.2966818287036,0.1131513654588373,0.034072201867330135
12053,2.8000000000000003,0.0,13138.878539930556,3642.8785399305557,0.0018712608950645095,0.02794894501616842
12054,3.7,0.0,13138.36009710648,3642.3600971064816,0.1447347035096638,0.06832670266725856
12055,2.9000000000000004,0.0,13137.433190277778,3641.4331902777776,0.05773158703813049,0.030882785681647755
12056,3.0,0.0,13136.69055625,3640.69055625,0.019063556247726897,0.034116046116188264
12057,3.3000000000000003,0.0,13135.89674988426,3639.8967498842594,0.016915428294597218,0.04596880807349442
12058,2.8000000000000003,0.0,13134.446769675926,3638.446769675926,0.03230034586725509,0.027993158781999122
12059,2.6,0.0,13134.060075462963,3638.060075462963,0.01017760310118254,0.022953950049613325
12060,3.6,0.0,13133.962569791667,3637.9625697916667,0.2414498283832108,0.06196471924316476
12061,3.5,0.0,13133.826856597223,3637.826856597222,0.16210499047138954,0.05610974818679185
12062,2.8000000000000003,0.0,13133.782300578703,3637.7823005787036,0.17025669261287377,0.027999795602727102
12063,2.9000000000000004,0.0,13133.76837650463,3637.7683765046295,0.12363775699296088,0.030923184607540906
12064,2.7,0.0,13133.70898136574,3637.708981365741,0.41477163043770104,0.02535356454750546
12065,3.4000000000000004,0.0,13132.06213275463,3636.0621327546296,0.01633041039761282,0.050837546769070964
12066,3.0,0.0,13131.967565277777,3635.967565277778,0.008796286268551666,0.034173578766431414
12067,3.5,0.0,13130.891519907407,3634.891519907407,0.2989150921204516,0.05616854878126331
12068,2.9000000000000004,0.0,13129.494762615741,3633.494762615741,0.02057262452370244,0.030970380073121372
12069,2.7,0.0,13129.454598611112,3633.454598611111,0.005359506394920874,0.025392085501673427
12070,3.4000000000000004,0.0,13128.938200578703,3632.938200578704,0.25787386795850903,0.050894257723569335
12071,2.6,0.0,13128.873030902778,3632.873030902778,0.06079377335739513,0.022996478167551872
12072,2.8000000000000003,0.0,13128.765036226852,3632.765036226852,0.21986728738237363,0.028049973887297006
12073,2.6,0.0,13128.603191666667,3632.6031916666666,0.10196454733979927,0.022998693314159786
12074,3.0,0.0,13127.054553125,3631.054553125,0.0030789127451516392,0.03423355797591541
12075,3.0,0.0,13126.963069444444,3630.9630694444445,0.005460587742785087,0.03423467610772042
12076,3.1,0.0,13126.606142708333,3630.606142708333,0.00332575415811875,0.03781366401911227
12077,4.0,0.0,13126.078047685185,3630.078047685185,0.6468305961796201,0.09244329138663925
12078,2.9000000000000004,0.0,13125.675394675925,3629.675394675926,0.016999965113860746,0.03101263714174408
12079,3.2,0.0,13123.087596990741,3627.0875969907406,0.002427849213300959,0.041813991614409234
12080,3.0,0.0,13120.766413078703,3624.766413078704,0.009688705446728674,0.03431052185478989
12081,2.6,0.0,13118.525621180555,3622.5256211805554,0.09793938011410473,0.0230816174312238
12082,3.9000000000000004,0.0,13118.484236226852,3622.484236226852,0.022791072510113263,0.0839317330955026
12083,3.7,0.0,13117.072158796296,3621.072158796296,0.6377834090593401,0.06884793968595106
12084,2.7,0.0,13116.551823611111,3620.551823611111,0.052087850903954507,0.025509371758137184
12085,2.8000000000000003,0.0,13116.549548842593,3620.5495488425927,0.022041675449807542,0.028172624752771845
12086,2.9000000000000004,0.0,13116.478968055555,3620.4789680555555,0.006380632075490874,0.031114688714078645
12087,2.6,0.0,13116.345805439814,3620.3458054398147,0.02766349231476918,0.02309960457083679
12088,2.6,0.0,13115.054589004629,3619.0545890046296,0.1329985681926776,0.023110267743050538
12091,3.4000000000000004,0.0,13110.973342592593,3614.9733425925924,0.3589242598825553,0.051221963727628717
12093,2.7,0.0,13110.950417013888,3614.950417013889,0.03591824321663345,0.025560504546012205
12094,3.3000000000000003,0.0,13110.789300694445,3614.7893006944446,0.1405685855202067,0.04638286936624725
12095,3.2,0.0,13110.10469074074,3614.104690740741,0.4247185762809015,0.04200845827995046
12096,6.6000000000000005,0.0,13109.416181481482,3613.4161814814815,1.1682084175714784,1.2296125849471664
12097,5.800000000000001,0.0,13109.415828125,3613.415828125,0.4646933983938944,0.555585365157942
