lon,lat,mag,time_string,depth,catalog_id,event_id
-125.70900753504633,40.45309048055323,3.0,2007-01-08T06:35:16,0,1,0
-125.20684464625218,40.42389077506616,2.5,2007-01-08T21:01:56,0,1,1
-122.69309365569327,38.76434390671457,2.7,2007-01-08T15:44:28,0,1,2
-125.7110223907942,40.45544238009433,3.2,2007-01-08T06:53:44,0,1,3
-120.95175718458188,35.56943964472231,2.7,2007-01-08T04:29:57,0,2,4
-121.18414560787792,36.58307149296806,3.0,2007-01-08T18:11:10,0,3,5
-121.48765033114356,41.0565910095281,2.5,2007-01-08T05:48:26,0,3,6
-121.49186900367611,41.05456105560103,3.1,2007-01-08T07:24:33,0,3,7
-117.8662190348344,38.20314188031638,2.9,2007-01-08T12:54:10,0,5,8
-122.7635872631169,38.77474133981635,2.9,2007-01-08T21:53:48,0,6,9
-121.05234203537076,35.703533581792065,2.7,2007-01-08T08:58:01,0,7,10
-121.4432668905176,36.7492307453574,2.5,2007-01-08T14:10:17,0,7,11
-121.106457172804,35.72314424996745,2.7,2007-01-08T11:04:31,0,7,12
-121.44257660267634,36.75100598296199,2.6,2007-01-08T14:39:56,0,7,13
-121.4389116691389,36.75208823326729,2.9,2007-01-08T15:11:53,0,7,14
-118.70010977681206,37.26207217896862,3.2,2007-01-08T01:52:08,0,8,15
-118.69799676362864,37.25750050365489,3.3,2007-01-08T01:53:15,0,8,16
-118.70637262447435,37.26374815176988,2.6,2007-01-08T13:07:12,0,8,17
-121.51958604582104,37.11451676344539,2.5,2007-01-08T11:09:20,0,9,18
-116.7470706588598,34.13763401803372,2.5,2007-01-08T08:55:26,0,10,19
-116.74845969742188,34.134546489741545,3.8,2007-01-08T14:56:22,0,10,20
-117.62724454192389,36.08112217638998,2.8,2007-01-08T08:16:19,0,11,21
-116.2239251313276,32.8733878167997,2.9,2007-01-08T10:57:39,0,11,22
-118.7867203424982,38.05413044877723,3.3,2007-01-08T22:24:34,0,11,23
-120.06371218349828,36.03077668752154,2.7,2007-01-08T19:33:37,0,11,24
-114.4894406166766,36.27283764947411,2.7,2007-01-08T08:00:42,0,12,25
-115.95629552421508,32.816537042142066,3.2,2007-01-08T23:23:01,0,12,26
-117.88350855566884,36.004833701679246,2.5,2007-01-08T13:48:03,0,13,27
-121.09935891793018,35.67231311665342,2.5,2007-01-08T17:50:21,0,13,28
-118.09962091739926,39.07568431471073,2.9,2007-01-08T00:18:38,0,13,29
-116.3149635217375,34.46044380820088,2.8,2007-01-08T09:55:32,0,14,30
-116.07704654553848,33.21491588572049,2.5,2007-01-08T23:38:30,0,14,31
-116.0321466762598,33.708922569169246,2.8,2007-01-08T16:07:03,0,14,32
-125.42549424693271,40.43612197047077,3.1,2007-01-08T22:37:40,0,15,33
-116.66862437163344,34.22878677162868,4.2,2007-01-08T02:22:22,0,16,34
-115.56601718388944,33.05231616193763,3.4,2007-01-08T00:18:49,0,16,35
-118.46369581339395,37.58903586738701,3.0,2007-01-08T00:21:41,0,16,36
-124.19043860023451,40.3733804496914,3.9,2007-01-08T20:00:24,0,16,37
-120.28613026122645,36.1761624248038,3.2,2007-01-08T02:37:48,0,16,38
-116.6850171283902,34.20025348145781,2.9,2007-01-08T02:22:59,0,16,39
-116.67176802546766,34.232407921281926,2.5,2007-01-08T03:20:31,0,16,40
-118.4651335934562,37.59044549344614,2.7,2007-01-08T03:50:40,0,16,41
-120.28439027382346,36.17775351712134,2.5,2007-01-08T07:50:14,0,16,42
-116.67307512325615,34.63970082684766,2.5,2007-01-08T05:10:27,0,17,43
-115.11085462094088,32.339028776951736,2.7,2007-01-08T07:03:12,0,17,44
-118.74166569908044,37.56654496736415,2.5,2007-01-08T01:56:50,0,18,45
-122.78740837939982,38.82368786389458,2.5,2007-01-08T08:51:52,0,18,46
-123.29158398217052,39.35135121952691,2.5,2007-01-08T19:07:32,0,18,47
-116.0434093012954,33.70906651118094,2.6,2007-01-08T03:09:12,0,18,48
