target_id,time,longitude,latitude,magnitude,x,y,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1
8989,2009-01-01 01:36:47.628,-116.49073,33.47319,1.4000000000000001,-6.369642961417508,11.480808340358877,0.6,0.0,0.0003523266096467639,0.6499297776086341,0.35007022239136587,1.0
8996,2009-01-01 05:01:42.334,-116.387611,33.567772,0.8,4.163549474467622,21.02234731196436,0.6,0.0,0.0003523266096467639,0.0103642692394678,0.9896357307605322,1.0
9001,2009-01-01 07:24:31.030,-116.79986,33.8641,0.9,37.10605465837873,-17.11392773490891,0.6,0.0,0.0003523266096467639,0.9191474668496042,0.08085253315039584,1.0
9004,2009-01-01 08:11:16.267,-116.71111,33.6977,1.1,18.59205081708652,-8.936732482096964,0.6,0.0,0.0003523266096467639,0.7046842563763024,0.29531574362369756,1.0
9011,2009-01-01 11:37:12.495,-116.32022,33.33157,0.7000000000000001,-22.085197532841672,27.340597758683447,0.6,0.0,0.0003523266096467639,0.4576040771121667,0.5423959228878332,1.0
9025,2009-01-01 18:12:47.236,-116.43759,33.47258,1.0,-6.430331063630014,16.409791631809465,0.6,0.0,0.0003523266096467639,0.6820068204962775,0.3179931795037225,1.0
9027,2009-01-01 18:28:45.965,-116.37957,33.3754,0.9,-17.22556872745513,21.815754304248337,0.6,0.0,0.0003523266096467639,0.9859066074166601,0.014093392583339836,1.0
9031,2009-01-01 22:03:30.877,-116.37479,33.32551,1.5,-22.772065953068616,22.272391050429437,0.6,0.0,0.0003523266096467639,0.9439142859621645,0.05608571403783545,1.0
9032,2009-01-02 00:47:32.081,-116.79569,33.41812,0.6000000000000001,-12.485322483674835,-16.815692277410133,0.6,0.0,0.0003523266096467639,0.015111456845592095,0.984888543154408,1.0
9048,2009-01-02 09:16:08.530,-116.73664,33.51428,0.8,-1.8008252585028517,-11.322600856884383,0.6,0.0,0.0003523266096467639,0.9822661172363317,0.017733882763668316,1.0
9052,2009-01-02 12:00:22.914,-116.5748,33.48363,0.6000000000000001,-5.214910091744109,3.682656235068265,0.6,0.0,0.0003523266096467639,0.9996712623719836,0.0003287376280164127,1.0
9055,2009-01-02 17:56:32.206,-116.57491,33.48367,0.9,-5.210466193184221,3.67245298362612,0.6,0.0,0.0003523266096467639,0.999966106060449,3.389393955092904e-05,1.0
9056,2009-01-02 18:18:32.632,-116.73489,33.64937,1.3,13.220305292791224,-11.142911821168934,0.6,0.0,0.0003523266096467639,0.9636521921729608,0.03634780782703924,1.0
