id,time,longitude,latitude,magnitude,x,y
0,1990-01-01 09:03:12.880,140.568,36.417,4.8,204.09392923558892,90.78555102937452
1,1990-01-02 16:26:37.730,146.063,43.42,4.6,1000.6233250073936,527.3681969886649
2,1990-01-03 08:53:38.930,141.272,35.457,4.3,98.21827014336411,155.64327071410327
3,1990-01-04 12:16:38.380,141.408,36.342,4.4,196.8397078218646,166.11167958552653
4,1990-01-04 23:25:57.190,138.821,32.381,5.2,-244.90700699334235,-68.8082356834053
5,1990-01-05 20:31:07.130,144.047,36.123,4.3,180.04189490576792,403.5009657213076
6,1990-01-07 13:28:47.470,142.053,41.518,5.4,773.5700600510704,208.57816456925897
7,1990-01-07 19:50:34.220,140.828,44.161,4.8,1065.421154627371,102.13205236286484
8,1990-01-08 17:56:47.120,142.494,23.295,4.6,-1251.486643420556,302.2283160480941
9,1990-01-10 03:09:18.850,143.288,39.646,5.7,568.8552592702696,320.07603440398213
10,1990-01-10 03:11:17.630,143.306,39.706,5.8,575.5844495177182,321.3485964675457
11,1990-01-11 02:09:51.070,125.263,25.766,4.4,-886.3546139498186,-1432.9049957153024
12,1990-01-11 11:10:51.200,135.951,35.066,4.8,59.281947001802074,-327.81057389763845
13,1990-01-14 01:43:49.410,130.824,29.064,4.7,-578.9235321498826,-848.8491676455002
14,1990-01-15 12:42:25.910,122.147,24.403,5.1,-992.1180946623158,-1765.1868436437996
15,1990-01-16 18:01:51.900,129.956,29.355,4.3,-539.2574702984026,-930.2374505660039
16,1990-01-18 07:28:08.450,129.529,28.611,4.4,-618.080303780138,-978.9630053910081
17,1990-01-18 15:01:48.980,141.051,31.08,4.7,-388.7895067599036,142.68835064243913
18,1990-01-19 19:07:46.130,141.227,35.339,4.9,85.02886644251801,151.78839895006533
19,1990-01-20 02:11:29.430,122.641,24.641,4.3,-973.5162799718352,-1711.7527952315943
20,1990-01-20 02:55:54.840,142.314,40.097,5.7,616.1934114767538,235.12864973525194
21,1990-01-21 15:20:36.110,141.032,35.428,4.1,94.64693429739383,133.9553929983142
22,1990-01-21 20:53:41.350,148.659,44.358,4.8,1122.1657053877761,726.1789283282061
23,1990-01-21 21:50:15.380,140.751,27.505,3.8,-786.6782182378817,118.39728174415524
24,1990-01-22 06:12:08.690,149.613,43.413,4.4,1025.2571363645316,814.09025967332
25,1990-01-23 03:15:40.070,122.565,24.703,4.8,-965.4251336342709,-1718.415190286823
26,1990-01-23 13:29:21.210,141.68,37.309,4.9,304.84388208400406,188.12168636126614
27,1990-01-23 20:06:53.510,130.423,28.507,4.5,-637.5328387496477,-892.8145634922212
28,1990-01-29 10:37:10.360,142.324,40.19,4.8,626.557051162019,235.66966912990688
29,1990-01-29 15:48:18.670,141.65,41.948,4.4,820.5676008595827,173.84080781152554
