index,time,longitude,latitude,magnitude,x,y,mc_current,index_from_zero,int_lambd,lambd,lambd_star,LL,TLL,SLL
773731,1981-01-01 01:49:29.230,-118.832,33.724,2.3000000000000003,-46.46517693033725,-167.52659419283597,2.0,0,0.0,0.0,0.0,-inf,-inf,
773732,1981-01-01 04:13:55.640,-115.967,33.249,2.3000000000000003,-100.26249856150066,97.9689383398734,2.0,1,0.0,0.0,0.0,-inf,-inf,
773733,1981-01-01 05:20:14.670,-117.31,34.18,2.4000000000000004,2.796002983282264,-26.631121277937098,2.0,2,0.0,0.0,0.0,-inf,-inf,
773737,1981-01-01 15:05:24.760,-118.537,35.316,2.2,130.10827103714982,-137.60024314859405,2.0,3,0.0,0.0,0.0,-inf,-inf,
773746,1981-01-02 15:03:09.420,-118.281,36.043,3.1,210.6257482691738,-113.34875979195756,2.0,4,0.0,0.0,0.0,-inf,-inf,
773748,1981-01-02 16:45:32.810,-118.308,36.051,2.6,211.54608583244288,-115.76496998278668,2.0,5,0.0,0.0,0.0,-inf,-inf,
773751,1981-01-02 20:08:40.890,-117.69362729940576,35.04325357153205,2.1,98.95128688923988,-61.282087676208896,2.0,6,0.0,0.0,0.0,-inf,-inf,
773753,1981-01-02 23:46:23.920,-118.068,36.15,2.0,222.3032834398834,-94.06966430947011,2.0,7,0.0,0.0,0.0,-inf,-inf,
773754,1981-01-03 00:21:11.520,-115.24884003029096,32.417493292420986,2.2,-191.8013245106188,166.31718374529513,2.0,8,0.0,0.0,0.0,-inf,-inf,
773756,1981-01-03 01:05:31.450,-115.2517199067978,32.41527997260168,2.2,-192.05204665859893,166.05099507540848,2.0,9,0.0,0.0,0.0,-inf,-inf,
773760,1981-01-03 13:34:45.550,-120.38,34.581,2.6,52.42882180442496,-307.5076172947705,2.0,10,0.0,0.0,0.0,-inf,-inf,
773769,1981-01-04 08:07:01.670,-120.899,34.389,2.3000000000000003,32.77537326269642,-355.8081856748769,2.0,11,0.0,0.0,0.0,-inf,-inf,
773770,1981-01-04 09:21:32.320,-115.753,32.174,2.8000000000000003,-219.57039958093412,119.31667584010395,2.0,12,0.0,0.0,0.0,-inf,-inf,
773773,1981-01-04 15:42:10.910,-116.72,34.005,2.2,-16.660162458668033,27.69953656360481,2.0,13,0.0,0.0,0.0,-inf,-inf,
